,rpm,obdSpeed,mapIntake,intakeTemp,coolantTemp,MAFairFlowRate
2023-02-22 22:07:01,-106.0,-9.0,-9.0,0.0,2.0,-762.0
2023-02-22 22:07:11,56.0,10.0,4.0,0.0,0.0,14.0
2023-02-22 22:07:21,1170.0,6.0,8.0,0.0,1.0,5795.0
2023-02-22 22:07:40,516.0,38.0,92.0,-1.0,3.0,-2067.0
2023-02-22 22:07:50,-492.0,18.0,-71.0,1.0,3.0,-2211.0
2023-02-22 22:08:10,-1260.0,-65.0,-22.0,0.0,2.0,-467.0
2023-02-22 22:08:20,789.0,5.0,2.0,0.0,1.0,-144.0
2023-02-22 22:08:30,519.0,25.0,30.0,0.0,1.0,250.0
2023-02-22 22:08:40,-633.0,15.0,-31.0,0.0,1.0,-461.0
2023-02-22 22:09:00,141.0,-31.0,-9.0,0.0,1.0,144.0
2023-02-22 22:09:10,251.0,5.0,4.0,0.0,0.0,75.0
2023-02-22 22:09:20,-300.0,12.0,17.0,0.0,0.0,675.0
2023-02-22 22:09:50,341.0,6.0,9.0,0.0,2.0,647.0
2023-02-22 22:10:00,462.0,12.0,64.0,0.0,1.0,3525.0
2023-02-22 22:10:10,-185.0,20.0,-76.0,0.0,1.0,-4575.0
2023-02-22 22:10:20,-30.0,-1.0,-8.0,0.0,2.0,-150.0
2023-02-22 22:10:30,-222.0,-8.0,-2.0,0.0,1.0,742.0
2023-02-22 22:10:40,-138.0,-7.0,0.0,0.0,0.0,-905.0
2023-02-22 22:10:50,174.0,8.0,-2.0,0.0,-1.0,288.0
2023-02-22 22:11:00,161.0,22.0,51.0,0.0,1.0,1442.0
2023-02-22 22:11:10,-281.0,-4.0,-45.0,0.0,3.0,-1775.0
2023-02-22 22:11:20,-269.0,-12.0,-3.0,0.0,-1.0,620.0
2023-02-22 22:11:30,86.0,4.0,2.0,0.0,-1.0,-839.0
2023-02-22 22:11:40,-225.0,-11.0,-8.0,0.0,-1.0,33.0
2023-02-22 22:11:50,126.0,7.0,4.0,1.0,0.0,-14.0
2023-02-22 22:12:00,-413.0,-20.0,-5.0,0.0,-1.0,-25.0
2023-02-22 22:12:10,191.0,-7.0,2.0,0.0,-1.0,-114.0
2023-02-22 22:12:20,416.0,15.0,76.0,0.0,0.0,2411.0
2023-02-22 22:12:30,421.0,14.0,-43.0,-1.0,2.0,-1050.0
2023-02-22 22:12:40,-745.0,-9.0,-29.0,1.0,2.0,-636.0
2023-02-23 07:55:59,-312.0,-15.0,-43.0,0.0,1.0,-153.0
2023-02-23 07:56:04,79.0,4.0,1.0,0.0,0.0,-208.0
2023-02-23 07:56:14,-161.0,-7.0,5.0,0.0,0.0,-450.0
2023-02-23 07:57:04,277.0,-45.0,58.0,2.0,-1.0,2383.0
2023-02-23 07:57:14,130.0,25.0,-48.0,0.0,1.0,-1967.0
2023-02-23 07:57:24,-771.0,-18.0,-20.0,0.0,0.0,-1066.0
2023-02-23 07:57:34,703.0,-19.0,3.0,0.0,0.0,561.0
2023-02-23 07:57:44,-18.0,12.0,1.0,1.0,0.0,-403.0
2023-02-23 07:57:54,-97.0,7.0,2.0,0.0,-1.0,1111.0
2023-02-23 07:58:04,-337.0,6.0,-3.0,0.0,1.0,-653.0
2023-02-23 07:58:14,-210.0,-5.0,2.0,0.0,0.0,-233.0
2023-02-23 07:58:24,630.0,15.0,1.0,0.0,0.0,103.0
2023-02-23 07:58:34,-106.0,-2.0,-2.0,0.0,0.0,594.0
2023-02-23 07:58:44,-203.0,-5.0,-2.0,1.0,-1.0,-319.0
2023-02-23 07:58:54,90.0,-19.0,1.0,0.0,0.0,-239.0
2023-02-23 07:59:04,-382.0,-3.0,-3.0,0.0,0.0,-556.0
2023-02-23 07:59:14,54.0,6.0,2.0,0.0,-1.0,114.0
2023-02-23 07:59:24,333.0,5.0,-1.0,0.0,0.0,206.0
2023-02-23 07:59:34,-270.0,-5.0,0.0,0.0,0.0,-183.0
2023-02-23 07:59:44,-171.0,-7.0,0.0,1.0,0.0,-45.0
2023-02-23 07:59:54,288.0,10.0,0.0,0.0,0.0,428.0
2023-02-23 08:00:04,-96.0,-2.0,-1.0,0.0,0.0,-406.0
2023-02-23 08:00:14,99.0,2.0,3.0,0.0,1.0,648.0
2023-02-23 08:00:24,715.0,10.0,10.0,0.0,0.0,116.0
2023-02-23 08:00:34,-526.0,-15.0,-13.0,0.0,0.0,-233.0
2023-02-23 08:00:44,967.0,23.0,13.0,0.0,0.0,508.0
2023-02-23 08:00:54,-1433.0,-24.0,-13.0,1.0,0.0,-1119.0
2023-02-23 08:01:04,540.0,10.0,18.0,0.0,1.0,1080.0
2023-02-23 08:01:14,828.0,12.0,17.0,-1.0,0.0,17.0
2023-02-23 08:01:24,-296.0,14.0,10.0,0.0,0.0,556.0
2023-02-24 07:44:36,-647.0,6.0,-53.0,-1.0,2.0,-2036.0
2023-02-24 07:45:40,16.0,-24.0,8.0,0.0,2.0,467.0
2023-02-24 07:47:10,-19.0,-14.0,-34.0,2.0,1.0,-403.0
2023-02-25 08:49:23,-579.0,21.0,-2.0,0.0,1.0,-195.0
2023-02-25 08:49:51,-912.0,-62.0,-56.0,0.0,3.0,-2297.0
