,dt,vehicle_id,dtc_data,dtc_status
0,2023-01-12 22:24:51,617,P242f,storred
1,2023-01-12 22:24:52,617,P242f,pending
2,2023-01-12 23:27:58,617,P242f,storred
3,2023-01-12 23:27:59,617,P242f,pending
4,2023-01-13 00:15:59,617,P242f,storred
5,2023-01-13 00:16:01,617,P242f,pending
6,2023-01-13 01:45:09,617,P242f,storred
7,2023-01-13 01:45:10,617,P242f,pending
8,2023-01-13 02:08:22,420,P0300,pending
9,2023-01-13 02:34:29,420,P0300,pending
10,2023-01-13 03:25:00,617,P242f,storred
11,2023-01-13 03:25:02,617,P242f,pending
12,2023-01-13 04:29:48,617,P242f,storred
13,2023-01-13 04:29:49,617,P242f,pending
14,2023-01-13 06:34:18,617,P242f,storred
15,2023-01-13 06:34:20,617,P242f,pending
16,2023-01-13 07:46:22,617,P242f,storred
17,2023-01-13 07:46:27,617,P242f,pending
18,2023-01-13 23:24:29,617,P242f,storred
19,2023-01-13 23:24:37,617,P242f,pending
20,2023-01-13 23:28:46,617,P242f,storred
21,2023-01-14 02:51:04,617,P242f,storred
22,2023-01-14 02:51:05,617,P242f,pending
23,2023-01-14 03:41:53,617,P242f,storred
24,2023-01-14 03:41:55,617,P242f,pending
25,2023-01-14 04:00:15,420,P0300,pending
26,2023-01-14 06:44:28,420,P0300,pending
27,2023-01-14 07:16:07,420,P0300,pending
28,2023-01-16 22:19:01,617,P242f,storred
29,2023-01-16 22:19:03,617,P242f,pending
30,2023-01-16 22:49:31,617,P242f,storred
31,2023-01-16 22:49:33,617,P242f,pending
32,2023-01-16 23:05:58,617,P242f,storred
33,2023-01-16 23:06:00,617,P242f,pending
34,2023-01-16 23:43:48,617,P242f,storred
35,2023-01-16 23:43:50,617,P242f,pending
36,2023-01-17 00:25:19,617,P242f,storred
37,2023-01-17 00:25:21,617,P242f,pending
38,2023-01-17 01:31:06,617,P242f,storred
39,2023-01-17 01:31:08,617,P242f,pending
40,2023-01-17 01:42:04,617,P242f,storred
41,2023-01-17 01:42:06,617,P242f,pending
42,2023-01-17 02:59:49,420,P0302,pending
43,2023-01-17 03:35:53,420,P0302,pending
44,2023-01-17 04:42:18,420,P0302,pending
45,2023-01-17 06:30:25,617,P242f,storred
46,2023-01-17 06:30:26,617,P242f,pending
47,2023-01-17 06:41:57,420,P0302,pending
48,2023-01-17 07:15:50,420,P0302,pending
49,2023-01-17 07:22:12,617,P242f,storred
50,2023-01-17 07:22:14,617,P242f,pending
51,2023-01-17 22:48:01,617,P242f,storred
52,2023-01-17 23:08:04,617,P242f,storred
53,2023-01-17 23:08:06,617,P242f,pending
54,2023-01-18 07:26:01,617,P242f,storred
55,2023-01-18 07:26:03,617,P242f,pending
56,2023-01-19 02:58:18,617,P242f,storred
57,2023-01-19 02:58:20,617,P242f,pending
58,2023-01-19 09:00:08,474,P20f6,storred
59,2023-01-19 09:42:08,474,P20f6,pending
60,2023-01-19 10:48:15,474,P20f6,storred
61,2023-01-19 10:48:18,474,P20f6,pending
62,2023-01-19 20:21:13,474,P20f6,storred
63,2023-01-19 21:45:37,474,P20f6,storred
64,2023-01-19 22:36:20,617,P242f,storred
65,2023-01-19 22:36:22,617,P242f,pending
