,rpm,obdSpeed,mapIntake,intakeTemp,coolantTemp,MAFairFlowRate
2023-01-01 05:38:44,769,24,102,23,61,497.0
2023-01-02 05:18:49,1991,34,100,22,35,1277.0
2023-01-02 05:19:49,1670,49,103,20,39,1911.0
2023-01-02 05:46:46,2011,34,106,24,80,2613.0
2023-01-02 05:54:59,2269,40,105,25,87,2138.0
2023-01-02 05:58:48,964,27,105,26,92,688.0
2023-01-02 10:14:18,1461,62,106,20,98,2005.0
2023-01-02 10:16:31,1306,24,112,22,94,1591.0
2023-01-02 23:16:29,1892,64,150,21,83,2405.0
2023-01-03 02:11:37,1662,50,149,27,93,2872.0
2023-01-03 03:08:19,749,23,101,27,87,522.0
2023-01-03 03:20:19,2101,61,109,29,93,2005.0
2023-01-03 03:22:57,1472,62,104,25,94,1808.0
2023-01-03 03:23:57,2305,68,108,26,95,2219.0
2023-01-03 03:24:57,1297,38,107,28,94,2174.0
2023-01-03 04:29:10,1973,112,100,27,92,1386.0
2023-01-03 09:39:56,1976,34,101,29,67,1419.0
2023-01-03 09:42:56,1656,29,102,26,81,1213.0
2023-01-03 22:20:53,760,24,102,18,63,649.0
2023-01-03 22:21:53,2291,41,166,20,74,2986.0
2023-01-04 02:08:25,1339,37,104,26,95,1722.0
2023-01-04 02:10:25,748,5,102,27,90,530.0
2023-01-04 04:23:48,756,7,102,30,87,536.0
2023-01-04 06:16:42,1281,16,105,29,97,1872.0
2023-01-04 22:46:21,1320,39,115,27,94,1769.0
2023-01-05 07:57:19,1731,30,102,32,98,1316.0
2023-01-05 09:09:27,1160,21,106,30,94,1827.0
2023-01-05 09:12:40,810,4,102,28,96,1097.0
2023-01-06 01:35:31,1911,56,100,39,96,1294.0
2023-01-06 01:36:31,1968,34,101,32,97,1444.0
2023-01-06 01:38:31,1992,35,102,33,96,2158.0
2023-01-06 01:41:31,2188,38,100,32,97,1691.0
2023-01-06 02:08:00,1924,56,105,34,95,2519.0
